Author,Book_average_rating,units sold,genre,Publisher ,sale price,sales rank
Jodi Picoult,2.7,1567,fiction,"Amazon Digital Services,  Inc.",0.99,495
Patricia Briggs,2.74,1550,genre fiction,"Amazon Digital Services,  Inc.",1.99,497
Melissa de la Cruz,2.89,1544,genre fiction,"Amazon Digital Services,  Inc.",3.99,497
Caleb Carr,2.8,1511,genre fiction,HarperCollins Publishers,6.99,498
Ta-Nehisi Coates,2.99,1508,genre fiction,"Amazon Digital Services,  Inc.",2.99,499
"John Milton, John      Leonard",2.34,1500,genre fiction,"Amazon Digital Services,  Inc.",4.99,502
Michael   Lewis,2.53,1490,fiction,Simon and Schuster Digital Sales Inc,6.99,502
Stephen King,2.54,1487,nonfiction,"Amazon Digital Services,  Inc.",7.74,503
"Patrick Ness, Jim Kay, Siobhan Dowd",2.91,1477,genre fiction,Random House LLC,10.65,505
"Robert Jordan, Brandon Sanderson",2.76,1467,fiction,"Amazon Digital Services,  Inc.",1.99,505
Frederick Forsyth,2.98,1450,genre fiction,"Amazon Digital Services,  Inc.",0.99,508
"Jason Fried, David Heinemeier Hansson",2,1444,genre fiction,Simon and Schuster Digital Sales Inc,2.99,509
Rainbow Rowell,2.67,1436,genre fiction,"Amazon Digital Services,  Inc.",0.99,511
"Stephenie Meyer, Ilyana Kadushin, Matt Walters",2.93,1420,genre fiction,Penguin Group (USA) LLC,9.49,513
Carol Rifka Brunt,2.34,1411,genre fiction,"Amazon Digital Services,  Inc.",1.99,514
James Herriot,2.95,1389,genre fiction,"Amazon Digital Services,  Inc.",5.99,514
Michelle Hodkin,2.96,1367,fiction,Macmillan,10.99,516
Janet Evanovich,2.89,1300,genre fiction,Hachette Book Group,6.49,517
Emmuska Orczy,2.92,1300,fiction,Hachette Book Group,3.79,517
"Jon Stone, Michael J. Smollin",2.92,1300,genre fiction,"Amazon Digital Services,  Inc.",1.99,518
Judy Blume,2.56,1300,genre fiction,Penguin Group (USA) LLC,2.99,519
Leigh Bardugo,2.73,1267,fiction,"Amazon Digital Services,  Inc.",3.99,519
"Herman Koch, Sam Garrett",2.8,1200,genre fiction,"Amazon Digital Services,  Inc.",4.99,520
Marie Lu,2.7,1240,nonfiction,Simon and Schuster Digital Sales Inc,9.99,523
Carl Sagan,2.5,1200,genre fiction,Random House LLC,7.99,524
Stephanie Perkins,2.3,1230,genre fiction,"Amazon Digital Services,  Inc.",3.99,524
Zadie Smith,1,1243,fiction,"Amazon Digital Services,  Inc.",0.99,524
"Chris Kyle, Scott McEwen, Jim DeFelice",1,1234,genre fiction,Macmillan,12.74,525
Chelsea Handler,1.4,1200,nonfiction,Simon and Schuster Digital Sales Inc,7.66,526
Pittacus Lore,1.34,1178,fiction,Macmillan,10.91,526
Meg Wolitzer,1.45,1150,genre fiction,HarperCollins Publishers,7.99,528
Bill Watterson,1.89,1145,genre fiction,"Amazon Digital Services,  Inc.",0.99,530
Geraldine Brooks,1.5,1137,genre fiction,Penguin Group (USA) LLC,7.69,531
Kate Morton,1.5,1130,genre fiction,HarperCollins Publishers,1.99,532
Better Homes and Gardens,1.7,1118,nonfiction,"Amazon Digital Services,  Inc.",0.99,534
Douglas Adams,1.4,1111,genre fiction,HarperCollins Publishers,11.89,535
"Hermann Hesse, Basil Creighton",1.4,1110,fiction,"Amazon Digital Services,  Inc.",4.99,535
Tess Gerritsen,1.4,1109,nonfiction,Random House LLC,10.99,536
Jojo Moyes,1.4,1109,genre fiction,Random House LLC,6.94,537
Robin Hobb,1.3,1100,fiction,"Amazon Digital Services,  Inc.",0.99,538
Arthur C. Clarke,1.2,1100,genre fiction,"Amazon Digital Services,  Inc.",7.39,539
"Kate DiCamillo, Timothy Basil Ering",1.1,764,genre fiction,Penguin Group (USA) LLC,6.99,541
"Barbara Kingsolver, Steven L. Hopp, Camille Kingsolver, Richard A. Houser",0.9,534,genre fiction,"Amazon Digital Services,  Inc.",4.99,542
Sarah J. Maas,0.8,765,genre fiction,Hachette Book Group,0.99,543
Robert Jordan,0.7,145,fiction,Hachette Book Group,4.99,544
Alan Bradley,0.7,157,genre fiction,Penguin Group (USA) LLC,10.65,545
Donald Miller,0.5,200,genre fiction,"Amazon Digital Services,  Inc.",0.99,546
Diana Gabaldon,0.2,200,nonfiction,Penguin Group (USA) LLC,5.163791209,547
Rick Riordan,0.1,29,genre fiction,"Amazon Digital Services,  Inc.",5.165585629,549
Liane Moriarty,0,23,genre fiction,"Amazon Digital Services,  Inc.",5.167380049,549
"Brian K. Vaughan, Fiona Staples",0,30,genre fiction,"Amazon Digital Services,  Inc.",5.169174469,550
